"","genus","species","NLU","MLN","SLN","FLK","HLO","OTM","OOM","LCN","LLN","ULN","TLN","NLN","OLO","OOO","BCM","NCN","RCA","IBK","HLM","NLK","CLM","GLK","Species"
"43","Chaetodon","bennetti",0,"0",0,"0",0,"0",1,0,0,0,0,"0","0",0,"0",0,0,1,"0","0","0",0,"Chaetodon bennetti"
"44","Chaetodon","ephippium",1,"1",0,"0",1,"0",1,0,1,1,0,"0","0",0,"0",1,1,1,"0","0","0",0,"Chaetodon ephippium"
"45","Chaetodon","kleinii",0,"1",0,"0",0,"0",1,0,0,0,0,"0","0",0,"0",0,0,1,"0","0","0",0,"Chaetodon kleinii"
"46","Acanthurus","lineatus",0,"0",0,"0",0,"0",1,0,0,0,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Acanthurus lineatus"
"47","Chaetodon","lunula",0,"1",0,"1",1,"0",0,0,1,1,1,"0","0",0,"0",0,0,1,"0","0","0",0,"Chaetodon lunula"
"48","Chaetodon","lunulatus",0,"1",0,"0",1,"0",1,0,1,0,0,"0","0",0,"0",1,1,0,"0","0","0",0,"Chaetodon lunulatus"
"49","Chaetodon","melannotus",0,"0",0,"0",1,"0",0,0,0,0,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Chaetodon melannotus"
"50","Chaetodon","ocellicaudus",0,"0",0,"0",0,"0",0,0,1,0,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Chaetodon ocellicaudus"
"51","Chaetodon","octofasciatus",0,"0",0,"0",0,"0",0,0,0,0,0,"0","0",0,"0",0,1,1,"0","0","0",0,"Chaetodon octofasciatus"
"52","Chaetodon","rafflesii",0,"0",0,"0",0,"0",1,0,1,0,0,"0","0",0,"0",0,1,1,"0","0","0",0,"Chaetodon rafflesii"
"53","Chaetodon","semeion",0,"0",0,"0",1,"0",0,0,0,0,0,"0","0",0,"0",0,0,1,"0","0","0",0,"Chaetodon semeion"
"54","Chaetodon","trifascialis",0,"0",0,"0",0,"0",0,0,0,0,0,"0","0",0,"0",0,0,1,"0","0","0",0,"Chaetodon trifascialis"
"55","Chaetodon","ulietensis",0,"0",0,"0",1,"0",0,0,1,0,0,"0","0",0,"0",1,0,1,"0","0","0",0,"Chaetodon ulietensis"
"56","Chaetodon","vagabundus",0,"1",0,"1",1,"0",1,1,1,1,0,"1","0",0,"0",1,0,1,"0","0","0",0,"Chaetodon vagabundus"
"57","Chaetodontoplus","poliourus",0,"0",0,"0",0,"0",0,0,0,0,0,"0","0",0,"0",0,0,1,"0","0","0",0,"Chaetodontoplus poliourus"
"58","Cheilinus","fasciatus",0,"0",0,"0",0,"0",1,0,0,0,0,"0","0",0,"0",0,1,1,"0","0","0",0,"Cheilinus fasciatus"
"59","Cheilinus","trilobatus",0,"0",0,"0",0,"0",1,0,0,0,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Cheilinus trilobatus"
"60","Cheilinus","undulatus",0,"0",0,"0",0,"0",0,0,1,0,0,"0","0",0,"0",1,0,0,"0","0","0",0,"Cheilinus undulatus"
"61","Cheilodipterus","artus",0,"0",0,"0",0,"0",1,0,1,0,0,"1","0",1,"0",0,1,0,"0","0","0",0,"Cheilodipterus artus"
"62","Cheilodipterus","isostigma",0,"0",0,"0",0,"0",0,0,0,1,0,"0","0",0,"0",1,0,0,"0","0","0",0,"Cheilodipterus isostigma"
"63","Cheilodipterus","quinquelineatus",0,"1",0,"0",1,"0",1,0,1,1,0,"1","0",0,"0",1,1,1,"0","0","0",0,"Cheilodipterus quinquelineatus"
"64","Cheilodipterus","singapurensis",1,"0",0,"0",1,"0",0,0,0,0,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Cheilodipterus singapurensis"
"65","Choerodon","anchorago",1,"1",0,"1",1,"0",1,1,1,1,0,"1","1",0,"0",1,0,1,"0","0","0",0,"Choerodon anchorago"
"66","Chlorurus","bleekeri",0,"0",0,"0",0,"0",1,0,0,0,0,"0","0",0,"0",1,1,1,"0","0","0",0,"Chlorurus bleekeri"
"67","Chlorurus","microrhinos",0,"0",0,"0",0,"0",0,0,1,0,0,"0","0",0,"0",0,0,1,"0","0","0",0,"Chlorurus microrhinos"
"68","Chlorurus","spilurus",0,"0",0,"0",0,"0",1,0,1,0,0,"0","0",0,"0",0,1,1,"0","0","0",0,"Chlorurus spilurus"
"69","Chromis","viridis",0,"0",0,"0",1,"0",0,0,1,0,0,"0","0",0,"0",1,0,0,"0","0","0",0,"Chromis viridis"
"70","Chrysiptera","cyanea",0,"0",0,"0",0,"0",0,0,0,0,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Chrysiptera cyanea"
"71","Chrysiptera","oxycephala",0,"1",0,"0",1,"0",1,0,1,0,0,"1","0",1,"0",1,1,0,"0","0","0",0,"Chrysiptera oxycephala"
"72","Chrysiptera","biocellata",0,"0",0,"0",0,"0",0,1,0,1,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Chrysiptera biocellata"
"73","Fusigobius","signipinnis",0,"1",0,"0",0,"0",0,0,1,0,0,"0","0",0,"0",0,0,1,"0","0","0",0,"Fusigobius signipinnis"
"74","Corythoichthys","ocellatus",0,"0",0,"0",0,"0",0,0,0,0,0,"0","0",0,"0",0,0,1,"0","0","0",0,"Corythoichthys ocellatus"
"75","Cryptocentrus","strigilliceps",0,"0",0,"1",0,"0",0,0,1,0,0,"0","0",0,"0",0,1,0,"0","0","0",0,"Cryptocentrus strigilliceps"
"76","Cryptocentrus","caeruleomaculatus",0,"0",0,"0",0,"0",0,0,0,1,1,"1","0",0,"0",1,0,0,"1","0","0",0,"Cryptocentrus caeruleomaculatus"
"77","Cryptocentrus","cyanospilotus",0,"0",0,"0",0,"0",0,0,0,0,0,"0","0",0,"0",0,0,0,"1","0","0",0,"Cryptocentrus cyanospilotus"
"78","Cryptocentrus","leptocephalus",0,"0",0,"0",0,"0",0,0,1,1,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Cryptocentrus leptocephalus"
"79","Cryptocentrus","strigilliceps",0,"0",0,"0",0,"0",0,0,0,0,0,"0","0",0,"0",1,0,0,"0","0","0",0,"Cryptocentrus strigilliceps"
"80","Ctenochaetus","striatus",0,"0",0,"0",0,"0",1,0,1,0,0,"0","0",1,"0",1,1,1,"0","0","0",0,"Ctenochaetus striatus"
"81","Ctenogobiops","pomastictus",0,"0",0,"0",0,"0",0,0,0,0,0,"1","0",0,"0",0,0,0,"0","0","0",0,"Ctenogobiops pomastictus"
"82","Cymbacephalus","beauforti",0,"0",0,"0",0,"0",0,0,1,0,0,"0","0",0,"0",0,0,0,"0","0","0",0,"Cymbacephalus beauforti"
"83","Dascyllus","aruanus",0,"0",0,"0",0,"0",1,0,1,0,0,"1","0",0,"0",1,0,0,"0","0","0",0,"Dascyllus aruanus"
